id,name,category,manufacturer,total_owned,sell_price,rental_price,net_cost_per_invoice,purchase_price,photo_file_name,photo_file_type,photo_file_path,created_at
22,36 deg. Ellipsoidal (LEKO),"Lighting,Conventional",ETC,8,75,25,0,0,ETC_SOURCE_FOUR_LEKO.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ETC_SOURCE_FOUR_LEKO.jpg,2018-02-06T17:44:08.000Z
23,PAR 38 can,"Lighting,Conventional",,,37.5,0,0,0,par_38_can.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/par_38_can.jpg,2018-02-06T17:53:33.000Z
24,Wireless Lavalier Microphone,"Sound,Microphones",Shure,5,50,0,0,0,shure_wireless_lav.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/shure_wireless_lav.jpg,2018-02-06T21:27:11.000Z
25,ULX4 Wireless Handheld Microphone,"Sound,Microphones",Shure,4,50,0,0,0,shure_ulx4_wireless_handheld.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/shure_ulx4_wireless_handheld.jpg,2018-02-06T21:29:44.000Z
26,Podium Microphone,"Sound,Microphones",,1,50,0,0,0,podium_microphone.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/podium_microphone.jpg,2018-02-06T22:01:06.000Z
27,Sound Engineer,Labor,,,300,0,200,0,,,,2018-02-06T22:04:09.000Z
28,Wireless LED light,"Lighting,LED",Lumin,20,40,25,0,0,lumin_white_wireless_LED.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/lumin_white_wireless_LED.jpg,2018-02-20T18:12:24.000Z
29,LV Operator,Labor,,,300,0,200,0,,,,2018-02-21T20:31:10.000Z
30,50 deg. Ellipsoidal (LEKO),"Lighting,Conventional",ETC,8,75,25,0,0,ETC_SOURCE_FOUR_LEKO.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ETC_SOURCE_FOUR_LEKO.jpg,2018-02-26T20:56:32.000Z
31,26 deg. Ellipsoidal (LEKO),"Lighting,Conventional",ETC,8,75,25,0,0,ETC_SOURCE_FOUR_LEKO.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ETC_SOURCE_FOUR_LEKO.jpg,2018-02-26T20:57:30.000Z
32,19 deg. Ellipsoidal (LEKO),"Lighting,Conventional",ETC,8,75,25,0,0,ETC_SOURCE_FOUR_LEKO.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ETC_SOURCE_FOUR_LEKO.jpg,2018-02-26T20:57:44.000Z
33,50 lb. Base,Infrastructure,,10,25,10,0,0,50_lb_base.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/50_lb_base.jpg,2018-02-26T20:58:12.000Z
34,1604 - VLZ PRO,"Sound,Boards",Mackie,1,75,0,0,0,1604-VLZ-PRO.png,png,/Users/Steve/Documents/dev/bep_data/inventory_images/1604-VLZ-PRO.png,2018-02-27T21:26:19.000Z
35,Eon (self powered),"Sound,Speakers",JBL,2,50,0,0,0,JBL_EON-15.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/JBL_EON-15.jpg,2018-02-28T19:17:11.000Z
36,CFX-20,"Sound,Boards",Mackie,1,100,0,0,0,Mackie_CFX20.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Mackie_CFX20.jpg,2018-02-28T19:21:27.000Z
37,SM-58,"Sound,Microphones",Shure,8,25,0,0,0,shure_sm-58.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/shure_sm-58.jpg,2018-03-05T15:49:26.000Z
38,Desk Mount Microphone Stand,Sound,,,0,0,0,0,desk_mount_microphone-stand.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/desk_mount_microphone-stand.jpg,2018-03-05T15:52:08.000Z
39,Pin spot,"Lighting,Conventional",,,25,0,0,0,pinspot.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/pinspot.jpg,2018-03-05T20:04:00.000Z
40,"70"" LED screen","Video,TV",Samsung,,600,0,0,0,,,,2018-03-05T20:50:32.000Z
41,60 in. Plasma TV,"Video,TV",LG,2,500,0,0,0,LG_60-Inch_1080p_Plasma.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/LG_60-Inch_1080p_Plasma.jpg,2018-03-05T20:52:22.000Z
42,Video Technician,Labor,,,300,0,200,0,,,,2018-04-02T14:49:53.000Z
43,10' Black Pipe,Infrastructure,,10,25,10,0,0,10_black_pipe.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/10_black_pipe.jpg,2018-04-09T17:09:28.000Z
44,Mac 250 Krypton,"Lighting,Moving Head",Martin,0,200,0,0,0,mac250krypton.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/mac250krypton.jpg,2018-04-09T17:20:10.000Z
45,Stage Hand,Labor,,,25,0,0,0,,,,2018-04-09T17:49:21.000Z
46,50in Plasma Monitor,"Video,TV",Panasonic,2,100,0,0,0,panasonic_50_plasma.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/panasonic_50_plasma.jpg,2018-04-12T16:01:43.000Z
